delay,,condition,key_resp.rt,,expected,,unexpected
0.4,,exp,0.2972015,,,,
0.4,,exp,0.2824019,,,,
0.4,,exp,0.2900615,,,,
0.4,,exp,0.8076252,,,,
0.4,,exp,0.1934053,,,,
0.4,,exp,2.0024209,,,,
0.4,,exp,1.4794332,,,,
0.4,,exp,1.130838,,,,
0.4,,exp,4.1382834,,,,
0.4,,exp,0.2705536,,,,
0.4,,exp,2.2638189,,,,
0.4,,exp,1.9584306,,,,
0.4,,exp,0.43233,,,,
0.4,,exp,0.3269262,,,,
0.4,,exp,0.0271968,,,,
0.4,,exp,0.4670811,,,,
0.4,,exp,0.3065353,,,,
0.4,,exp,0.3675279,,,,
0.4,,exp,1.3975678,,,,
0.4,,exp,1.3033656,,,,
0.4,,exp,0.3269262,,,,
0.4,,exp,0.3675279,,,,
0.7,,exp,0.4577106,,,,
0.7,,exp,0.3615428,,,,
0.7,,exp,2.370195,,,,
0.7,,exp,1.2691503,,,,
0.7,,exp,0.3322618,,,,
0.7,,exp,0.3247433,,,,
0.7,,exp,0.3295898,,,,
0.7,,exp,0.2591819,,,,
0.7,,exp,0.4304275,,,,
0.7,,exp,0.3610385,,,,
0.7,,exp,0.2883567,,,,
0.7,,exp,0.3104946,,,,
0.7,,exp,0.265104,,,,
0.7,,exp,0.3041063,,,,
0.7,,exp,0.4925691,,,,
0.7,,exp,1.0318925,,,,
0.7,,exp,0.3182379,,,,
0.7,,exp,0.5696152,,,,
0.7,,exp,0.5678881,,,,
0.7,,exp,0.652118,,,,
0.7,,exp,0.3875159,,,,
0.7,,exp,2.139877,,,,
0.7,,exp,1.1167843,,,,
0.7,,exp,0.3957771,,,,
0.7,,exp,0.4871662,,,,
0.7,,exp,0.3896451,,,,
0.7,,exp,0.5310502,,,,
0.7,,exp,0.3931876,,,,
0.7,,exp,0.2939326,,,,
0.7,,exp,0.6502022,,,,
0.7,,exp,0.7252196,,,,
0.7,,exp,0.3001971,,,,
0.7,,exp,0.3289948,,,,
0.7,,exp,1.0337171,,,,
0.7,,exp,1.7232145,,,,
0.7,,exp,0.3990588,,,,
0.7,,exp,0.4411798,,,,
0.7,,exp,0.4839326,,,,
0.7,,exp,0.934788,,,,
0.7,,exp,32.179257,,,,
0.7,,exp,0.3682353,,,,
0.7,,exp,0.3793912,,,,
0.7,,exp,0.3734916,,,,
0.7,,exp,0.2737735,,,,
0.7,,exp,0.274168,,,,
0.7,,exp,0.8061261,,,,
0.7,,exp,0.2947824,,,,
0.7,,exp,0.6183962,,,,
0.7,,exp,0.3612986,,,,
0.7,,exp,0.5183238,,,,
0.7,,exp,0.2934836,,,,
0.7,,exp,1.1903833,,,,
0.7,,exp,2.9528087,,,,
0.7,,exp,0.3600876,,,,
0.7,,exp,1.2489955,,,,
0.7,,exp,0.2765623,,,,
0.7,,exp,0.361747,,,,
0.7,,exp,0.3427024,,,,
0.7,,exp,0.6182618,,,,
0.7,,exp,0.8023539,,,,
0.7,,exp,0.3339404,,,,
0.7,,exp,0.3021797,,,,
0.7,,exp,0.5043682,,,,
0.7,,exp,0.5397203,,,,
0.7,,exp,0.348884,,,,
0.7,,exp,0.2062116,,,,
0.7,,exp,1.6750299,,,,
0.7,,exp,0.7842006,,,,
0.7,,exp,1.7460194,,,,
0.7,,exp,0.3425633,,,,
0.7,,exp,0.5583187,,,,
0.7,,exp,0.1536332,,,,
0.7,,exp,0.4504068,,,,
0.7,,exp,0.2299531,,,,
0.7,,exp,0.236668,,,,
0.7,,exp,0.2492037,,,,
0.7,,exp,0.1300787,,,,
0.7,,exp,2.3930419,,,,
0.7,,exp,70.6377088,,,,
0.7,,exp,0.3305141,,,,
0.7,,exp,32.4904424,,,,
0.7,,exp,1.5376687,,,,
0.7,,exp,0.9846164,,,,
0.7,,exp,0.2863879,,,,
0.7,,exp,0.0957067,,,,
0.7,,exp,0.3734916,,,,
0.7,,exp,0.2737735,,,,
0.7,,exp,0.274168,,,,
